Postcode
LS3 1HG
LS1 4EE
LS6 3ER
LS6 3HD
LS11 6JE
LS8 3QN
LS7 4ED
LS27 7RY
LS20 8BE
LS25 4AD
LS8 2SP
LS11 5PL
LS15 0AZ
LS2 9PR
LS6 1NG
LS16 6SG
LS13 3DQ
LS6 3BX
LS6 1AH
LS8 3PJ
LS19 7AY
LS17 9DZ
LS26 0GN
LS6 1AJ
LS6 2AX
LS11 7DG
LS4 2TY
LS6 1AL
LS6 1BE
LS8 2TB
LS12 3SN
LS6 1QP
LS13 3DJ
LS26 0ZD
LS10 3AN
LS4 2LP
LS10 3UU
LS8 3PT
LS13 4PQ
LS10 4JG
LS27 9TA
LS6 3AE
LS19 7WE
LS4 2NG
LS8 1LE
LS11 6JG
LS11 7JN
LS25 2EN
LS6 2HS
LS8 3QL
LS25 7ET
LS11 0HQ
LS6 1BU
LS6 3AG
LS2 9AA
LS9 7PU
LS10 4AN
LS10 4LP
LS11 8LD
LS26 0ER
LS6 3BW
LS12 3QN
LS10 4GH
LS11 8LE
LS26 0RD
LS8 3PW
LS16 6SE
LS8 3PF
LS11 7JJ
LS25 7QQ
LS19 7QR
LS6 4AJ
LS8 4EX
LS12 1LD
LS12 4HH
LS19 7JA
LS21 3LY
LS26 9EJ
LS6 1LS
LS9 8LB
LS11 0HX
LS12 5QS
LS18 4JJ
LS13 4HL
LS4 2NQ
LS26 9BZ
LS10 3RB
LS11 5HA
LS12 5BR
LS25 4AB
LS6 3AD
LS9 0JQ
LS9 7QP
LS25 1DZ
LS6 1AP
LS8 3PZ
LS23 6PB
LS26 0UD
LS28 7QL
LS3 1BX
LS6 3DD
LS10 3JT
LS10 4NB
LS21 1DD
LS27 7SN
LS8 2HZ
LS14 5QD
LS28 5TP
LS10 4NG
LS21 2AW
LS26 8ER
LS10 1LG
LS14 1DR
LS21 3LT
LS26 0QU
LS28 9AW
LS6 3LU
LS13 1DR
LS27 9PW
LS14 1HU
LS8 2JU
LS10 4GG
LS11 7AW
LS14 1NW
